Date,market,size,volatility,value,risk,growth,momentum
2017-01-02,6886.52,3427.958,2850.88944,1663.995,1707.235,1632.33,1661.729
2017-01-03,6905.877,3425.36,2851.133281,1667.808,1706.075,1637.2,1663.076
2017-01-04,6969.542,3471.849,2869.373836,1686.957,1724.614,1647.44,1673.471
2017-01-05,7002.989,3498.402,2889.518809,1694.637,1735.407,1655.32,1683.116
2017-01-06,7006.904,3490.87,2886.647794,1691.664,1734.133,1660.02,1685.244
2017-01-09,6982.731,3477.779,2873.312576,1683.371,1727.0,1657.69,1680.955
2017-01-10,6993.433,3487.233,2875.9139,1687.151,1730.226,1658.61,1685.533
2017-01-11,6988.087,3478.156,2872.148553,1685.915,1726.576,1655.83,1686.756
2017-01-12,7008.902,3497.656,2882.170342,1692.099,1735.23,1657.25,1693.899
2017-01-13,7027.739,3507.742,2883.58264,1696.979,1739.741,1660.56,1698.641
2017-01-16,7010.214,3496.738,2883.473797,1690.515,1735.484,1657.62,1695.918
2017-01-17,7006.701,3500.402,2891.783388,1689.637,1738.474,1658.48,1697.204
2017-01-18,7018.518,3505.392,2893.301043,1691.984,1740.937,1660.97,1702.725
2017-01-19,6980.742,3483.279,2870.818985,1682.004,1729.188,1652.8,1693.657
2017-01-20,7007.175,3497.128,2880.93209,1689.399,1735.47,1658.38,1699.556
2017-01-23,7002.41,3500.042,2882.008189,1687.787,1736.768,1657.68,1700.684
2017-01-24,7038.552,3518.918,2888.604242,1696.644,1746.041,1664.82,1714.265
2017-01-25,7098.483,3545.988,2896.559865,1713.003,1756.362,1677.36,1727.311
2017-01-26,7090.467,3541.774,2889.70318,1710.998,1753.931,1671.27,1725.369
2017-01-27,7089.39,3540.429,2894.577146,1709.273,1753.706,1674.26,1729.642
2017-01-30,7045.411,3521.338,2891.326791,1697.393,1745.04,1665.77,1717.516
2017-01-31,7046.796,3528.676,2901.657407,1696.489,1749.487,1663.81,1720.149
2017-02-01,7051.6,3527.233,2886.380852,1697.852,1747.001,1665.56,1721.322
2017-02-02,7059.254,3534.4,2900.332057,1698.254,1752.187,1665.71,1726.144
2017-02-03,7100.533,3549.802,2912.973763,1709.197,1760.433,1676.27,1730.386
